,ISBN,User-ID,Book-Rating
0,0002558122,11676,8
1,0002558122,81274,8
2,0002558122,201537,8
3,000648302X,11676,8
4,000648302X,37950,9
5,000648302X,119654,8
6,000648302X,120610,7
7,000649840X,11676,8
8,000649840X,16383,10
9,000649840X,32440,8
10,000649840X,69405,5
11,000649840X,70052,3
12,000649840X,76350,7
13,000649840X,81227,9
14,000649840X,81855,8
15,000649840X,86243,8
16,000649840X,114279,9
17,000649840X,120080,10
18,000649840X,140000,6
19,000649840X,148258,7
20,000649840X,149908,8
21,000649840X,159863,8
22,000649840X,164096,7
23,000649840X,231613,8
24,000649840X,262407,7
25,000649840X,262902,9
26,0006547834,11676,5
27,0006547834,82511,10
28,0006547834,86202,9
29,0006547834,171846,10
30,0006547834,225232,8
31,0006547834,262998,8
32,0006550576,100088,10
33,0006550576,113904,5
34,0006550576,118434,9
35,0006550576,125798,9
36,0006550576,157247,6
37,0006550576,167478,6
38,0006550789,11676,7
39,0006550789,76626,8
40,0006550789,94347,7
41,0006550789,183753,7
42,0006550789,187520,9
43,0006550789,238231,7
44,0006550789,274004,7
45,0007110928,11676,7
46,0007110928,23902,8
47,0007110928,92853,5
48,0007110928,100088,10
49,0007110928,105100,8
50,0007110928,107301,9
51,0007110928,122045,8
52,0007110928,148142,10
53,0007110928,170184,8
54,0007154615,11676,7
55,0007154615,43619,6
56,0007154615,47145,5
57,0007154615,60244,8
58,0007154615,68555,3
59,0007154615,69790,7
60,0007154615,92152,10
61,0007154615,105517,8
62,0007154615,114868,8
63,0007154615,125203,10
64,0007154615,153950,9
65,0007154615,223787,9
66,000716226X,15957,6
67,000716226X,36326,4
68,000716226X,42902,7
69,000716226X,64316,10
70,000716226X,69790,3
71,000716226X,86202,8
72,000716226X,131855,4
73,000716226X,180651,5
74,000716226X,241204,6
75,000716226X,244995,4
76,0007170866,87302,8
77,0020198817,37400,5
78,0020198817,55142,8
79,0020198817,76499,5
80,0020198817,101196,5
81,0020198817,116301,9
82,0020198817,209817,8
83,0020198817,220484,8
84,0020198817,257028,9
85,0020198817,267830,10
86,0020198906,7346,8
87,0020198906,14422,9
88,0020198906,41841,7
89,0020198906,106331,5
90,0020198906,108352,7
91,0020198906,109574,8
92,0020198906,140036,8
93,0020198906,157273,8
94,0020198906,206959,10
95,0020198906,225087,3
96,0020198906,229405,8
97,0020199600,10030,8
98,0020199600,27091,8
99,0020199600,62891,10
100,0020199600,101876,8
101,0020199600,125928,8
102,0020199600,134403,9
103,0020199600,136014,10
104,0020199600,146855,7
105,0020199600,160558,7
106,0020199600,176459,6
107,0020199600,197364,8
108,0020199600,216683,7
109,0020199600,217056,9
110,0020199600,227447,9
111,0020199600,235105,9
112,0020199600,235543,7
113,0020199600,275220,9
114,002026478X,68943,7
115,002026478X,95359,10
116,002026478X,104113,5
117,002026478X,248718,10
118,002026478X,264947,8
119,002026478X,271448,5
120,0020427859,507,9
121,0020427859,3346,5
122,0020427859,9856,6
123,0020427859,36327,8
124,0020427859,60707,9
125,0020427859,109115,2
126,0020427859,125774,9
127,0020427859,165308,9
128,0020427859,201792,10
129,0020427859,204864,10
130,0020442009,16634,9
131,0020442009,27091,8
132,0020442009,38023,10
133,0020442009,88733,8
134,0020442009,131594,8
135,0020442009,152946,8
136,0020442009,216027,9
137,0020442009,228021,9
138,0020442009,233445,8
139,0020442009,251844,9
140,0020442203,16634,9
141,0020442203,27091,7
142,0020442203,47779,10
143,0020442203,55492,10
144,0020442203,96448,8
145,0020442203,114414,10
146,0020442203,122429,8
147,0020442203,126053,10
148,0020442203,152946,8
149,0020442203,164096,9
150,0020442203,173291,10
151,0020442203,197687,9
152,0020442203,203240,8
153,0020442203,213066,7
154,0020442203,228998,7
155,0020442203,229768,10
156,0020442203,233445,9
157,0020442203,235059,10
158,0020442203,270121,6
159,0020442300,11993,9
160,0020442300,27091,8
161,0020442300,88733,8
162,0020442300,93363,9
163,0020442300,98686,10
164,0020442300,216027,9
165,0020442300,219683,8
166,0020442300,233445,8
167,0020442300,243294,10
168,0020442408,16634,8
169,0020442408,27091,8
170,0020442408,38023,10
171,0020442408,66878,10
172,0020442408,80234,9
173,0020442408,126736,5
174,0020442408,152946,8
175,0020442408,164096,9
176,0020442602,2313,9
177,0020442602,16634,9
178,0020442602,88733,8
179,0020442602,152946,8
180,0020442602,164096,9
181,0020442602,228021,8
182,0020442602,233445,9
183,0020442602,243294,10
184,0020442602,251844,7
185,0020442602,257028,8
186,0020518706,21364,10
187,0020518706,55075,8
188,0020518706,88412,8
189,0020518706,168047,8
190,0020518706,172331,10
191,0020518706,178920,8
192,0020518706,234828,9
193,0020519001,11676,7
194,0020519001,62891,7
195,0020519001,123883,5
196,0020519001,141719,5
197,0020519001,175287,9
198,0020519001,189855,5
199,0020532105,32773,9
200,0020532105,128325,10
201,0020532105,130837,10
202,0020532105,134118,8
